,name_road,oldname_road,points
0,0,1677,"[(30.66728632, 104.0819461), (30.66585121, 104.0810256)]"
1,1,3560,"[(30.66741927, 104.07744), (30.66829634, 104.0756937)]"
2,2,3562,"[(30.66974975, 104.0766779), (30.66829634, 104.0756937)]"
3,3,4669,"[(30.66503017, 104.0824686), (30.66585121, 104.0810256)]"
4,4,4670,"[(30.66658936, 104.0792781), (30.66585121, 104.0810256)]"
5,5,4991,"[(30.66658936, 104.0792781), (30.66813158, 104.0802769)]"
6,6,4992,"[(30.66728632, 104.0819461), (30.66813158, 104.0802769)]"
7,7,4993,"[(30.66903116, 104.0784525), (30.66813158, 104.0802769)]"
8,8,5350,"[(30.66741927, 104.07744), (30.66658936, 104.0792781)]"
9,9,5627,"[(30.66503017, 104.0824686), (30.66419702, 104.0844988)]"
10,10,5628,"[(30.66570422, 104.0852545), (30.66419702, 104.0844988)]"
11,11,5693,"[(30.66647581, 104.0834323), (30.66570422, 104.0852545)]"
12,12,5776,"[(30.66647581, 104.0834323), (30.66503017, 104.0824686)]"
13,13,5870,"[(30.66741927, 104.07744), (30.66903116, 104.0784525)]"
14,14,5871,"[(30.66974975, 104.0766779), (30.66903116, 104.0784525)]"
15,15,5896,"[(30.66647581, 104.0834323), (30.66728632, 104.0819461)]"
