,name_road,oldname_road,points
0,0,369,"[(30.66139729, 104.0782286), (30.66062591, 104.0797902)]"
1,1,1578,"[(30.66386644, 104.0728306), (30.66310274, 104.0744995)]"
2,2,1674,"[(30.66585121, 104.0810256), (30.66389343, 104.0798131)]"
3,3,1677,"[(30.66728632, 104.0819461), (30.66585121, 104.0810256)]"
4,4,1830,"[(30.66389343, 104.0798131), (30.66139729, 104.0782286)]"
5,5,2904,"[(30.66221135, 104.0764857), (30.66139729, 104.0782286)]"
6,6,2905,"[(30.66310274, 104.0744995), (30.66221135, 104.0764857)]"
7,7,3414,"[(30.65950096, 104.0821018), (30.66062591, 104.0797902)]"
8,8,3415,"[(30.66323476, 104.0814139), (30.66062591, 104.0797902)]"
9,9,3559,"[(30.66695776, 104.0748457), (30.66829634, 104.0756937)]"
10,10,3560,"[(30.66741927, 104.07744), (30.66829634, 104.0756937)]"
11,11,3562,"[(30.66974975, 104.0766779), (30.66829634, 104.0756937)]"
12,12,3652,"[(30.66221135, 104.0764857), (30.66468753, 104.0781096)]"
13,13,3653,"[(30.66389343, 104.0798131), (30.66468753, 104.0781096)]"
14,14,3654,"[(30.66566031, 104.0761884), (30.66468753, 104.0781096)]"
15,15,3655,"[(30.66658936, 104.0792781), (30.66468753, 104.0781096)]"
16,16,3904,"[(30.66162768, 104.0847123), (30.66383958, 104.0859453)]"
17,17,3905,"[(30.66401786, 104.0861632), (30.66383958, 104.0859453)]"
18,18,3906,"[(30.66419702, 104.0844988), (30.66383958, 104.0859453)]"
19,19,4114,"[(30.66903116, 104.0784525), (30.67048239, 104.0794847)]"
20,20,4115,"[(30.66967255, 104.0811962), (30.67048239, 104.0794847)]"
21,21,4116,"[(30.67124474, 104.0778208), (30.67048239, 104.0794847)]"
22,22,4563,"[(30.65886582, 104.083667), (30.65815153, 104.0851728)]"
23,23,4564,"[(30.66062918, 104.0867086), (30.65815153, 104.0851728)]"
24,24,4578,"[(30.66451347, 104.0732972), (30.66386644, 104.0728306)]"
25,25,4669,"[(30.66503017, 104.0824686), (30.66585121, 104.0810256)]"
26,26,4670,"[(30.66658936, 104.0792781), (30.66585121, 104.0810256)]"
27,27,4809,"[(30.66323476, 104.0814139), (30.66389343, 104.0798131)]"
28,28,4965,"[(30.65950096, 104.0821018), (30.66130424, 104.0827159)]"
29,29,4966,"[(30.66231551, 104.0833203), (30.66130424, 104.0827159)]"
30,30,4991,"[(30.66658936, 104.0792781), (30.66813158, 104.0802769)]"
31,31,4992,"[(30.66728632, 104.0819461), (30.66813158, 104.0802769)]"
32,32,4993,"[(30.66903116, 104.0784525), (30.66813158, 104.0802769)]"
33,33,4994,"[(30.66967255, 104.0811962), (30.66813158, 104.0802769)]"
34,34,5210,"[(30.66501226, 104.0867203), (30.66809939, 104.0885456)]"
35,35,5211,"[(30.66959784, 104.0854869), (30.66809939, 104.0885456)]"
36,36,5296,"[(30.66647581, 104.0834323), (30.66808938, 104.0845712)]"
37,37,5297,"[(30.66959784, 104.0854869), (30.66808938, 104.0845712)]"
38,38,5298,"[(30.66967255, 104.0811962), (30.66808938, 104.0845712)]"
39,39,5350,"[(30.66741927, 104.07744), (30.66658936, 104.0792781)]"
40,40,5447,"[(30.66974975, 104.0766779), (30.67124474, 104.0778208)]"
41,41,5452,"[(30.66310274, 104.0744995), (30.66566031, 104.0761884)]"
42,42,5453,"[(30.66612382, 104.0765093), (30.66566031, 104.0761884)]"
43,43,5458,"[(30.66231551, 104.0833203), (30.66323476, 104.0814139)]"
44,44,5459,"[(30.66503017, 104.0824686), (30.66323476, 104.0814139)]"
45,45,5578,"[(30.66162768, 104.0847123), (30.66231551, 104.0833203)]"
46,46,5579,"[(30.66419702, 104.0844988), (30.66231551, 104.0833203)]"
47,47,5627,"[(30.66503017, 104.0824686), (30.66419702, 104.0844988)]"
48,48,5628,"[(30.66570422, 104.0852545), (30.66419702, 104.0844988)]"
49,49,5629,"[(30.6612243, 104.0854998), (30.66062918, 104.0867086)]"
50,50,5630,"[(30.66262974, 104.0880259), (30.66062918, 104.0867086)]"
51,51,5652,"[(30.6612243, 104.0854998), (30.66162768, 104.0847123)]"
52,52,5692,"[(30.66501226, 104.0867203), (30.66570422, 104.0852545)]"
53,53,5693,"[(30.66647581, 104.0834323), (30.66570422, 104.0852545)]"
54,54,5716,"[(30.66451347, 104.0732972), (30.66695776, 104.0748457)]"
55,55,5717,"[(30.66612382, 104.0765093), (30.66695776, 104.0748457)]"
56,56,5776,"[(30.66647581, 104.0834323), (30.66503017, 104.0824686)]"
57,57,5804,"[(30.66741927, 104.07744), (30.66612382, 104.0765093)]"
58,58,5828,"[(30.65950096, 104.0821018), (30.65886582, 104.083667)]"
59,59,5840,"[(30.66401786, 104.0861632), (30.66262974, 104.0880259)]"
60,60,5870,"[(30.66741927, 104.07744), (30.66903116, 104.0784525)]"
61,61,5871,"[(30.66974975, 104.0766779), (30.66903116, 104.0784525)]"
62,62,5896,"[(30.66647581, 104.0834323), (30.66728632, 104.0819461)]"
63,63,5897,"[(30.66501226, 104.0867203), (30.66401786, 104.0861632)]"
