,x_input
0,"[0.061, 0.05599999, 0.051, 0.039, 0.048, 0.036, 0.053, 0.053, 0.062, 0.036, 0.05599999, 0.032, 0.046, 0.05599999, 0.04899999, 0.042]"
1,"[0.054, 0.057, 0.05199999, 0.039, 0.047, 0.035, 0.05199999, 0.05, 0.062, 0.033, 0.058, 0.031, 0.043, 0.051, 0.042, 0.037]"
2,"[0.053, 0.054, 0.053, 0.036, 0.045, 0.029, 0.05, 0.047, 0.05199999, 0.039, 0.057, 0.028, 0.043, 0.05, 0.033, 0.03]"
3,"[0.05, 0.048, 0.044, 0.034, 0.043, 0.025, 0.044, 0.046, 0.048, 0.044, 0.053, 0.028, 0.041, 0.04899999, 0.031, 0.028]"
4,"[0.046, 0.048, 0.047, 0.034, 0.04, 0.025, 0.043, 0.047, 0.043, 0.042, 0.04899999, 0.039, 0.042, 0.048, 0.038, 0.037]"
5,"[0.038, 0.04, 0.042, 0.032, 0.037, 0.025, 0.041, 0.048, 0.036, 0.047, 0.054, 0.045, 0.044, 0.05, 0.039, 0.034]"
6,"[0.054, 0.04899999, 0.046, 0.031, 0.042, 0.029, 0.046, 0.048, 0.048, 0.041, 0.04899999, 0.047, 0.04, 0.046, 0.044, 0.039]"
7,"[0.015, 0.016, 0.024, 0.012, 0.015, 0.015, 0.028, 0.05, 0.029, 0.043, 0.051, 0.037, 0.03, 0.03, 0.034, 0.037]"
8,"[0.013, 0.014, 0.021, 0.012, 0.015, 0.013, 0.015, 0.04, 0.023, 0.033, 0.037, 0.02, 0.019, 0.022, 0.027, 0.028]"
9,"[0.02, 0.02, 0.022, 0.015, 0.017, 0.014, 0.019, 0.021, 0.013, 0.022, 0.018, 0.009, 0.008, 0.011, 0.021, 0.019]"
10,"[0.016, 0.016, 0.02, 0.011, 0.013, 0.013, 0.016, 0.019, 0.012, 0.015, 0.015, 0.012, 0.008, 0.013, 0.017, 0.011]"
11,"[0.013, 0.014, 0.014, 0.012, 0.013, 0.01, 0.014, 0.017, 0.011, 0.015, 0.015, 0.013, 0.008, 0.012, 0.016, 0.013]"
12,"[0.015, 0.013, 0.015, 0.011, 0.011, 0.014, 0.014, 0.015, 0.011, 0.016, 0.016, 0.011, 0.007, 0.013, 0.021, 0.015]"
13,"[0.016, 0.017, 0.02, 0.013, 0.015, 0.015, 0.018, 0.018, 0.013, 0.017, 0.021, 0.014, 0.01, 0.017, 0.022, 0.016]"
14,"[0.023, 0.021, 0.027, 0.019, 0.019, 0.017, 0.023, 0.024, 0.018, 0.022, 0.026, 0.019, 0.009, 0.021, 0.026, 0.02]"
15,"[0.027, 0.027, 0.034, 0.024, 0.023, 0.021, 0.03, 0.027, 0.022, 0.025, 0.029, 0.018, 0.009, 0.021, 0.028, 0.029]"
16,"[0.023, 0.026, 0.03, 0.021, 0.024, 0.021, 0.026, 0.026, 0.02, 0.024, 0.02, 0.01, 0.009, 0.018, 0.031, 0.027]"
17,"[0.017, 0.019, 0.022, 0.018, 0.017, 0.02, 0.019, 0.019, 0.013, 0.021, 0.014, 0.008, 0.008, 0.015, 0.036, 0.031]"
18,"[0.014, 0.017, 0.021, 0.017, 0.02, 0.016, 0.017, 0.018, 0.014, 0.018, 0.013, 0.008, 0.009, 0.016, 0.027, 0.02]"
19,"[0.014, 0.016, 0.023, 0.015, 0.015, 0.019, 0.016, 0.018, 0.012, 0.018, 0.016, 0.009, 0.008, 0.016, 0.027, 0.019]"
20,"[0.016, 0.017, 0.026, 0.015, 0.017, 0.02, 0.023, 0.021, 0.019, 0.018, 0.02, 0.019, 0.014, 0.019, 0.031, 0.026]"
21,"[0.02, 0.023, 0.021, 0.014, 0.022, 0.021, 0.026, 0.036, 0.02, 0.017, 0.04, 0.017, 0.013, 0.034, 0.026, 0.019]"
22,"[0.023, 0.03, 0.022, 0.013, 0.029, 0.019, 0.026, 0.031, 0.02, 0.021, 0.045, 0.016, 0.009, 0.037, 0.028, 0.018]"
23,"[0.026, 0.033, 0.024, 0.015, 0.029, 0.025, 0.026, 0.035, 0.024, 0.028, 0.048, 0.019, 0.031, 0.03, 0.038, 0.026]"
24,"[0.033, 0.034, 0.018, 0.022, 0.033, 0.037, 0.035, 0.039, 0.046, 0.031, 0.04899999, 0.023, 0.041, 0.035, 0.044, 0.043]"
25,"[0.044, 0.033, 0.02, 0.032, 0.038, 0.038, 0.044, 0.042, 0.046, 0.035, 0.054, 0.028, 0.04, 0.042, 0.04899999, 0.042]"
26,"[0.044, 0.05, 0.038, 0.038, 0.04899999, 0.043, 0.046, 0.047, 0.051, 0.042, 0.059, 0.036, 0.041, 0.048, 0.043, 0.04899999]"
27,"[0.042, 0.05199999, 0.05, 0.044, 0.044, 0.042, 0.04899999, 0.05199999, 0.054, 0.044, 0.06299999, 0.043, 0.042, 0.05, 0.066, 0.059]"
