	epoch	time
0	0	0 days 00:00:01.585578
1	1	0 days 00:00:01.333284
2	2	0 days 00:00:01.329713
3	3	0 days 00:00:01.321692
4	4	0 days 00:00:01.322203
5	5	0 days 00:00:01.360783
6	6	0 days 00:00:01.328134
7	7	0 days 00:00:01.329409
8	8	0 days 00:00:01.332644
9	9	0 days 00:00:01.372160
10	10	0 days 00:00:01.591860
11	11	0 days 00:00:01.790843
12	12	0 days 00:00:01.587697
13	13	0 days 00:00:01.457585
14	14	0 days 00:00:01.537329
15	15	0 days 00:00:01.528565
16	16	0 days 00:00:01.422011
17	17	0 days 00:00:01.464697
18	18	0 days 00:00:01.390635
19	19	0 days 00:00:01.456973
20	20	0 days 00:00:01.466848
21	21	0 days 00:00:01.785629
22	22	0 days 00:00:01.382915
23	23	0 days 00:00:01.363108
24	24	0 days 00:00:01.414237
25	25	0 days 00:00:01.353008
26	26	0 days 00:00:01.519210
27	27	0 days 00:00:01.461360
28	28	0 days 00:00:01.338896
29	29	0 days 00:00:01.337370
30	30	0 days 00:00:01.332493
31	31	0 days 00:00:01.333936
32	32	0 days 00:00:01.325834
33	33	0 days 00:00:01.334449
34	34	0 days 00:00:01.333601
35	35	0 days 00:00:01.338285
36	36	0 days 00:00:01.337653
37	37	0 days 00:00:01.344749
38	38	0 days 00:00:01.337533
39	39	0 days 00:00:01.332493
40	40	0 days 00:00:01.336127
41	41	0 days 00:00:01.331197
42	42	0 days 00:00:01.335457
43	43	0 days 00:00:01.333168
44	44	0 days 00:00:01.334745
45	45	0 days 00:00:01.333669
46	46	0 days 00:00:01.494057
47	47	0 days 00:00:01.331962
48	48	0 days 00:00:01.344473
49	49	0 days 00:00:01.465868
50	50	0 days 00:00:01.369514
51	51	0 days 00:00:01.354237
52	52	0 days 00:00:01.326575
53	53	0 days 00:00:01.320692
54	54	0 days 00:00:01.327843
55	55	0 days 00:00:01.318155
56	56	0 days 00:00:01.319009
57	57	0 days 00:00:01.322407
58	58	0 days 00:00:01.361718
59	59	0 days 00:00:01.325082
60	60	0 days 00:00:01.696496
61	61	0 days 00:00:01.408906
62	62	0 days 00:00:01.398681
63	63	0 days 00:00:01.518754
64	64	0 days 00:00:01.742842
65	65	0 days 00:00:01.383966
66	66	0 days 00:00:01.400250
67	67	0 days 00:00:01.401455
68	68	0 days 00:00:01.345801
69	69	0 days 00:00:01.369020
70	70	0 days 00:00:01.336719
71	71	0 days 00:00:01.335439
72	72	0 days 00:00:01.335366
73	73	0 days 00:00:01.314774
74	74	0 days 00:00:01.312292
75	75	0 days 00:00:01.641464
76	76	0 days 00:00:01.320655
77	77	0 days 00:00:01.319468
78	78	0 days 00:00:01.329652
79	79	0 days 00:00:01.323300
80	80	0 days 00:00:01.319076
81	81	0 days 00:00:01.320622
82	82	0 days 00:00:01.320565
83	83	0 days 00:00:01.322129
84	84	0 days 00:00:01.391839
85	85	0 days 00:00:01.344337
86	86	0 days 00:00:01.364733
87	87	0 days 00:00:01.352751
88	88	0 days 00:00:01.345283
89	89	0 days 00:00:01.629918
90	90	0 days 00:00:01.450784
91	91	0 days 00:00:01.345351
92	92	0 days 00:00:01.392990
93	93	0 days 00:00:01.344711
94	94	0 days 00:00:01.551279
95	95	0 days 00:00:01.339275
96	96	0 days 00:00:01.348249
97	97	0 days 00:00:01.324438
98	98	0 days 00:00:01.353250
99	99	0 days 00:00:01.328613
