	epoch	time
0	0	0 days 00:00:01.498554
1	1	0 days 00:00:01.306693
2	2	0 days 00:00:01.309852
3	3	0 days 00:00:01.304897
4	4	0 days 00:00:01.300240
5	5	0 days 00:00:01.319072
6	6	0 days 00:00:01.412546
7	7	0 days 00:00:01.376320
8	8	0 days 00:00:01.315055
9	9	0 days 00:00:01.306409
10	10	0 days 00:00:01.498480
11	11	0 days 00:00:01.297590
12	12	0 days 00:00:01.306231
13	13	0 days 00:00:01.300597
14	14	0 days 00:00:01.296728
15	15	0 days 00:00:01.301842
16	16	0 days 00:00:01.301346
17	17	0 days 00:00:01.297181
18	18	0 days 00:00:01.297666
19	19	0 days 00:00:01.306609
20	20	0 days 00:00:01.303918
21	21	0 days 00:00:01.445591
22	22	0 days 00:00:01.315986
23	23	0 days 00:00:01.302225
24	24	0 days 00:00:01.301206
25	25	0 days 00:00:01.299180
26	26	0 days 00:00:01.300754
27	27	0 days 00:00:01.304885
28	28	0 days 00:00:01.302503
29	29	0 days 00:00:01.422548
30	30	0 days 00:00:01.394867
31	31	0 days 00:00:01.301633
32	32	0 days 00:00:01.330640
33	33	0 days 00:00:01.302218
34	34	0 days 00:00:01.302004
35	35	0 days 00:00:01.313400
36	36	0 days 00:00:01.304664
37	37	0 days 00:00:01.307778
38	38	0 days 00:00:01.299558
39	39	0 days 00:00:01.338230
40	40	0 days 00:00:01.319268
41	41	0 days 00:00:01.320259
42	42	0 days 00:00:01.301690
43	43	0 days 00:00:01.318042
44	44	0 days 00:00:01.338964
45	45	0 days 00:00:01.303672
46	46	0 days 00:00:01.482533
47	47	0 days 00:00:01.312580
48	48	0 days 00:00:01.308878
49	49	0 days 00:00:01.299000
50	50	0 days 00:00:01.305673
51	51	0 days 00:00:01.384732
52	52	0 days 00:00:01.328694
53	53	0 days 00:00:01.328337
54	54	0 days 00:00:01.299671
55	55	0 days 00:00:01.300208
56	56	0 days 00:00:01.298046
57	57	0 days 00:00:01.297373
58	58	0 days 00:00:01.323269
59	59	0 days 00:00:01.300487
60	60	0 days 00:00:01.568826
61	61	0 days 00:00:01.300096
62	62	0 days 00:00:01.310951
63	63	0 days 00:00:01.295708
64	64	0 days 00:00:01.310768
65	65	0 days 00:00:01.297528
66	66	0 days 00:00:01.299001
67	67	0 days 00:00:01.294185
68	68	0 days 00:00:01.301567
69	69	0 days 00:00:01.306897
70	70	0 days 00:00:01.296901
71	71	0 days 00:00:01.311996
72	72	0 days 00:00:01.305254
73	73	0 days 00:00:01.345785
74	74	0 days 00:00:01.506235
75	75	0 days 00:00:01.648292
76	76	0 days 00:00:01.308381
77	77	0 days 00:00:01.310943
78	78	0 days 00:00:01.294311
79	79	0 days 00:00:01.303140
80	80	0 days 00:00:01.295648
81	81	0 days 00:00:01.304586
82	82	0 days 00:00:01.289948
83	83	0 days 00:00:01.313300
84	84	0 days 00:00:01.288911
85	85	0 days 00:00:01.291071
86	86	0 days 00:00:01.306233
87	87	0 days 00:00:01.296834
88	88	0 days 00:00:01.297338
89	89	0 days 00:00:01.297380
90	90	0 days 00:00:01.317936
91	91	0 days 00:00:01.297876
92	92	0 days 00:00:01.297063
93	93	0 days 00:00:01.300179
94	94	0 days 00:00:01.310312
95	95	0 days 00:00:01.303594
96	96	0 days 00:00:01.332804
97	97	0 days 00:00:01.396022
98	98	0 days 00:00:01.330909
99	99	0 days 00:00:01.298841
