	epoch	time
0	0	0 days 00:00:01.451604
1	1	0 days 00:00:01.405485
2	2	0 days 00:00:01.394300
3	3	0 days 00:00:01.393765
4	4	0 days 00:00:01.391807
5	5	0 days 00:00:01.393842
6	6	0 days 00:00:01.388950
7	7	0 days 00:00:01.396374
8	8	0 days 00:00:01.427853
9	9	0 days 00:00:01.406667
10	10	0 days 00:00:01.619369
11	11	0 days 00:00:01.452051
12	12	0 days 00:00:01.477883
13	13	0 days 00:00:01.403002
14	14	0 days 00:00:01.411089
15	15	0 days 00:00:01.407938
16	16	0 days 00:00:01.400823
17	17	0 days 00:00:01.396183
18	18	0 days 00:00:01.882343
19	19	0 days 00:00:01.412835
20	20	0 days 00:00:01.406711
21	21	0 days 00:00:01.432295
22	22	0 days 00:00:01.408191
23	23	0 days 00:00:01.407274
24	24	0 days 00:00:01.412006
25	25	0 days 00:00:01.400238
26	26	0 days 00:00:01.411719
27	27	0 days 00:00:01.392739
28	28	0 days 00:00:01.401750
29	29	0 days 00:00:01.382756
30	30	0 days 00:00:01.384981
31	31	0 days 00:00:01.402056
32	32	0 days 00:00:01.397446
33	33	0 days 00:00:01.387863
34	34	0 days 00:00:01.387146
35	35	0 days 00:00:01.395668
36	36	0 days 00:00:01.395728
37	37	0 days 00:00:01.387030
38	38	0 days 00:00:01.400381
39	39	0 days 00:00:01.398565
40	40	0 days 00:00:01.401559
41	41	0 days 00:00:01.801407
42	42	0 days 00:00:01.408207
43	43	0 days 00:00:01.407300
44	44	0 days 00:00:01.414779
45	45	0 days 00:00:01.408285
46	46	0 days 00:00:01.397707
47	47	0 days 00:00:01.406324
48	48	0 days 00:00:01.402709
49	49	0 days 00:00:01.400009
50	50	0 days 00:00:01.401333
51	51	0 days 00:00:01.430716
52	52	0 days 00:00:01.406170
53	53	0 days 00:00:01.402421
54	54	0 days 00:00:01.404153
55	55	0 days 00:00:01.414359
56	56	0 days 00:00:01.407006
57	57	0 days 00:00:01.401332
58	58	0 days 00:00:01.408255
59	59	0 days 00:00:01.401338
60	60	0 days 00:00:01.407620
61	61	0 days 00:00:01.409934
62	62	0 days 00:00:01.397760
63	63	0 days 00:00:01.402178
64	64	0 days 00:00:01.398036
65	65	0 days 00:00:01.402502
66	66	0 days 00:00:01.408502
67	67	0 days 00:00:01.881931
68	68	0 days 00:00:01.472528
69	69	0 days 00:00:01.411180
70	70	0 days 00:00:01.401181
71	71	0 days 00:00:01.409977
72	72	0 days 00:00:01.397940
73	73	0 days 00:00:01.406772
74	74	0 days 00:00:01.406740
75	75	0 days 00:00:01.424063
76	76	0 days 00:00:01.408855
77	77	0 days 00:00:01.404573
78	78	0 days 00:00:01.406998
79	79	0 days 00:00:01.421705
80	80	0 days 00:00:01.409535
81	81	0 days 00:00:01.425468
82	82	0 days 00:00:01.398161
83	83	0 days 00:00:01.396533
84	84	0 days 00:00:01.402507
85	85	0 days 00:00:01.398280
86	86	0 days 00:00:01.398413
87	87	0 days 00:00:01.392889
88	88	0 days 00:00:01.401106
89	89	0 days 00:00:01.433030
90	90	0 days 00:00:01.390207
91	91	0 days 00:00:01.404382
92	92	0 days 00:00:01.447382
93	93	0 days 00:00:01.394977
94	94	0 days 00:00:01.399270
95	95	0 days 00:00:02.040764
96	96	0 days 00:00:01.429417
97	97	0 days 00:00:01.402287
98	98	0 days 00:00:01.410529
99	99	0 days 00:00:01.395244
