,x_input
0,"[1.0999999, 0.79999995, 0.79999995, 0.99999988, 1.5999999, 0.69999993, 0.89999998, 1.29999995, 1.0999999, 0.69999993, 0.89999998, 0.5999999, 1.29999995, 0.89999998, 0.79999995, 0.5999999]"
1,"[0.89999998, 0.89999998, 0.79999995, 1.0999999, 1.5999999, 0.79999995, 0.89999998, 1.29999995, 1.0999999, 0.5999999, 1.0999999, 0.69999993, 1.29999995, 0.99999988, 0.69999993, 0.5999999]"
2,"[0.99999988, 0.79999995, 0.79999995, 0.99999988, 1.70000005, 0.69999993, 0.89999998, 1.29999995, 0.89999998, 0.69999993, 1.0999999, 0.5999999, 1.29999995, 0.79999995, 0.69999993, 0.5999999]"
3,"[0.89999998, 0.79999995, 0.79999995, 0.99999988, 1.70000005, 0.5999999, 0.69999993, 1.20000005, 0.89999998, 0.89999998, 0.99999988, 0.5999999, 1.29999995, 0.99999988, 0.69999993, 0.5999999]"
4,"[0.79999995, 0.79999995, 0.79999995, 1.0999999, 1.39999986, 0.5999999, 0.69999993, 1.29999995, 0.89999998, 0.79999995, 0.89999998, 0.69999993, 1.39999986, 0.99999988, 0.69999993, 0.5999999]"
5,"[0.69999993, 0.69999993, 0.69999993, 0.99999988, 1.20000005, 0.5999999, 0.5999999, 1.39999986, 0.69999993, 0.99999988, 1.20000005, 0.79999995, 1.5999999, 0.99999988, 0.5999999, 0.5999999]"
6,"[1.0999999, 0.5, 0.69999993, 0.89999998, 0.99999988, 0.5999999, 0.89999998, 1.29999995, 1.0999999, 0.89999998, 1.29999995, 0.89999998, 1.5, 0.99999988, 0.69999993, 0.5999999]"
7,"[1.0999999, 0.79999995, 0.79999995, 0.99999988, 1.20000005, 0.5, 1.0999999, 1.39999986, 0.99999988, 0.89999998, 0.99999988, 0.99999988, 1.5, 0.99999988, 0.79999995, 0.69999993]"
8,"[0.79999995, 0.5999999, 0.5, 1.0999999, 0.79999995, 0.5, 0.99999988, 1.5, 0.99999988, 0.89999998, 1.0999999, 0.89999998, 1.5999999, 0.89999998, 0.79999995, 0.79999995]"
9,"[0.5, 0.5, 0.5, 0.89999998, 0.5999999, 0.5, 0.5999999, 1.39999986, 0.79999995, 0.89999998, 1.0999999, 0.79999995, 1.29999995, 0.69999993, 0.69999993, 0.69999993]"
10,"[0.5, 0.5, 0.5, 0.89999998, 0.5999999, 0.5, 0.39999998, 1.20000005, 0.69999993, 0.69999993, 0.79999995, 0.5, 1.0999999, 0.5999999, 0.5999999, 0.5]"
11,"[0.5999999, 0.5, 0.5, 0.89999998, 0.69999993, 0.5, 0.5, 0.99999988, 0.5999999, 0.5999999, 0.5999999, 0.39999998, 0.99999988, 0.5, 0.5, 0.5]"
12,"[0.5, 0.5, 0.5, 0.89999998, 0.5999999, 0.39999998, 0.5, 0.89999998, 0.5999999, 0.5, 0.5999999, 0.5, 0.99999988, 0.5, 0.5, 0.39999998]"
13,"[0.5, 0.39999998, 0.39999998, 0.79999995, 0.5, 0.39999998, 0.39999998, 0.89999998, 0.5, 0.5, 0.5999999, 0.39999998, 0.99999988, 0.5, 0.5, 0.39999998]"
14,"[0.5, 0.39999998, 0.39999998, 0.79999995, 0.5, 0.39999998, 0.39999998, 0.89999998, 0.5, 0.5, 0.5999999, 0.39999998, 0.99999988, 0.5, 0.5, 0.39999998]"
15,"[0.5, 0.39999998, 0.39999998, 0.79999995, 0.5999999, 0.39999998, 0.39999998, 0.89999998, 0.5999999, 0.5, 0.5999999, 0.5, 0.89999998, 0.5, 0.5, 0.39999998]"
16,"[0.5, 0.39999998, 0.39999998, 0.89999998, 0.5999999, 0.39999998, 0.39999998, 0.89999998, 0.5999999, 0.5, 0.5999999, 0.5, 0.89999998, 0.5, 0.5, 0.5]"
17,"[0.5, 0.39999998, 0.39999998, 0.89999998, 0.5999999, 0.5, 0.39999998, 0.89999998, 0.5999999, 0.5, 0.5, 0.39999998, 0.89999998, 0.39999998, 0.5, 0.5]"
18,"[0.39999998, 0.39999998, 0.39999998, 0.79999995, 0.5, 0.39999998, 0.39999998, 0.89999998, 0.5, 0.5, 0.5, 0.29999995, 0.89999998, 0.39999998, 0.5999999, 0.5]"
19,"[0.39999998, 0.39999998, 0.39999998, 0.79999995, 0.5, 0.39999998, 0.39999998, 0.79999995, 0.5, 0.39999998, 0.5, 0.39999998, 0.89999998, 0.39999998, 0.5, 0.5]"
20,"[0.39999998, 0.39999998, 0.39999998, 0.89999998, 0.5, 0.39999998, 0.39999998, 0.89999998, 0.5, 0.5, 0.5, 0.39999998, 0.89999998, 0.39999998, 0.5, 0.5]"
21,"[0.5, 0.39999998, 0.39999998, 0.89999998, 0.5999999, 0.39999998, 0.39999998, 0.89999998, 0.5999999, 0.5, 0.5999999, 0.5, 0.99999988, 0.5, 0.5, 0.39999998]"
22,"[0.5, 0.5, 0.5, 0.89999998, 1.20000005, 0.39999998, 0.39999998, 0.89999998, 0.5999999, 0.39999998, 0.5999999, 0.5999999, 0.99999988, 0.39999998, 0.5, 0.5]"
23,"[0.5, 0.5, 0.39999998, 0.89999998, 1.29999995, 0.39999998, 0.39999998, 0.99999988, 0.5999999, 0.5, 0.79999995, 0.5, 0.99999988, 0.69999993, 0.5999999, 0.39999998]"
24,"[0.5999999, 0.5, 0.5, 0.89999998, 1.20000005, 0.5, 0.5, 0.99999988, 0.5999999, 0.5, 0.89999998, 0.5999999, 0.99999988, 0.79999995, 0.5999999, 0.39999998]"
