	epoch	time
0	0	0 days 00:00:01.904134
1	1	0 days 00:00:01.778760
2	2	0 days 00:00:01.775372
3	3	0 days 00:00:01.838844
4	4	0 days 00:00:01.847451
5	5	0 days 00:00:01.811093
6	6	0 days 00:00:01.810519
7	7	0 days 00:00:01.778089
8	8	0 days 00:00:01.853493
9	9	0 days 00:00:01.888429
10	10	0 days 00:00:01.839137
11	11	0 days 00:00:01.895466
12	12	0 days 00:00:01.841320
13	13	0 days 00:00:01.796163
14	14	0 days 00:00:01.784260
15	15	0 days 00:00:01.770806
16	16	0 days 00:00:01.784882
17	17	0 days 00:00:01.753837
18	18	0 days 00:00:01.745328
19	19	0 days 00:00:01.835112
20	20	0 days 00:00:01.754629
21	21	0 days 00:00:01.906008
22	22	0 days 00:00:01.775040
23	23	0 days 00:00:01.750418
24	24	0 days 00:00:01.766448
25	25	0 days 00:00:01.770094
26	26	0 days 00:00:01.770367
27	27	0 days 00:00:01.774526
28	28	0 days 00:00:01.802029
29	29	0 days 00:00:02.622708
30	30	0 days 00:00:01.817125
31	31	0 days 00:00:01.947066
32	32	0 days 00:00:01.917613
33	33	0 days 00:00:01.868635
34	34	0 days 00:00:01.808494
35	35	0 days 00:00:01.783789
36	36	0 days 00:00:01.791226
37	37	0 days 00:00:01.777594
38	38	0 days 00:00:01.773534
39	39	0 days 00:00:01.763908
40	40	0 days 00:00:01.770546
41	41	0 days 00:00:01.764608
42	42	0 days 00:00:01.767069
43	43	0 days 00:00:01.776332
44	44	0 days 00:00:01.770040
45	45	0 days 00:00:01.768593
46	46	0 days 00:00:01.767588
47	47	0 days 00:00:01.774985
48	48	0 days 00:00:01.857199
49	49	0 days 00:00:01.811277
50	50	0 days 00:00:01.765849
51	51	0 days 00:00:01.764636
52	52	0 days 00:00:01.756539
53	53	0 days 00:00:01.767071
54	54	0 days 00:00:01.763845
55	55	0 days 00:00:01.780264
56	56	0 days 00:00:01.764406
57	57	0 days 00:00:01.748144
58	58	0 days 00:00:01.754717
59	59	0 days 00:00:01.748964
60	60	0 days 00:00:01.755922
61	61	0 days 00:00:01.760839
62	62	0 days 00:00:01.759358
63	63	0 days 00:00:01.751208
64	64	0 days 00:00:01.769427
65	65	0 days 00:00:01.857560
66	66	0 days 00:00:02.659490
67	67	0 days 00:00:01.764955
68	68	0 days 00:00:01.764496
69	69	0 days 00:00:01.777052
70	70	0 days 00:00:01.759813
71	71	0 days 00:00:01.763051
72	72	0 days 00:00:01.766844
73	73	0 days 00:00:01.763484
74	74	0 days 00:00:01.763657
75	75	0 days 00:00:01.781800
76	76	0 days 00:00:01.757789
77	77	0 days 00:00:01.780780
78	78	0 days 00:00:01.758187
79	79	0 days 00:00:01.763052
80	80	0 days 00:00:01.761546
81	81	0 days 00:00:01.769179
82	82	0 days 00:00:01.865899
83	83	0 days 00:00:01.813856
84	84	0 days 00:00:01.760229
85	85	0 days 00:00:01.782920
86	86	0 days 00:00:01.752178
87	87	0 days 00:00:01.753125
88	88	0 days 00:00:01.746947
89	89	0 days 00:00:01.750571
90	90	0 days 00:00:01.753406
91	91	0 days 00:00:01.787228
92	92	0 days 00:00:01.763140
93	93	0 days 00:00:01.776332
94	94	0 days 00:00:01.755792
95	95	0 days 00:00:01.756701
96	96	0 days 00:00:01.762283
97	97	0 days 00:00:01.751743
98	98	0 days 00:00:01.751761
99	99	0 days 00:00:01.871881
