,x_input,x_output
0,"[np.float32(-93.12892), np.float32(52.629677), np.float32(-69.48746), np.float32(-94.964294), np.float32(-71.63202), np.float32(-17.09473)]","[np.float32(23.459135), np.float32(23.016039), np.float32(22.60395), np.float32(24.41716), np.float32(25.94354), np.float32(27.95643), np.float32(25.16314), np.float32(26.179562), np.float32(22.801744), np.float32(23.085484), np.float32(23.99076), np.float32(23.134512), np.float32(22.934496), np.float32(22.934496), np.float32(23.665512), np.float32(23.665512)]"
1,"[np.float32(-95.488434), np.float32(39.179646), np.float32(-14.6407795), np.float32(81.590866), np.float32(215.1599), np.float32(18.193935)]","[np.float32(29.657614), np.float32(28.571573), np.float32(31.046503), np.float32(25.419132), np.float32(27.757654), np.float32(27.887182), np.float32(30.274094), np.float32(28.70756), np.float32(29.666613), np.float32(28.191046), np.float32(24.852818), np.float32(27.734608), np.float32(28.666265), np.float32(28.666265), np.float32(26.36996), np.float32(26.36996)]"
2,"[np.float32(-15.257048), np.float32(-157.12384), np.float32(11.753116), np.float32(134.82642), np.float32(82.44817), np.float32(27.18175)]","[np.float32(26.43237), np.float32(26.380001), np.float32(26.501894), np.float32(23.669199), np.float32(24.607658), np.float32(25.076881), np.float32(25.406437), np.float32(26.931353), np.float32(27.281229), np.float32(27.493181), np.float32(27.603853), np.float32(27.079973), np.float32(28.451202), np.float32(28.451204), np.float32(24.829643), np.float32(24.829643)]"
3,"[np.float32(-31.565248), np.float32(35.18371), np.float32(-135.8277), np.float32(-9.555283), np.float32(-106.257545), np.float32(-103.14623)]","[np.float32(21.711067), np.float32(22.085333), np.float32(22.173365), np.float32(23.281754), np.float32(24.216705), np.float32(27.737682), np.float32(23.934042), np.float32(25.75645), np.float32(20.813677), np.float32(21.440424), np.float32(22.151764), np.float32(21.52739), np.float32(22.9584), np.float32(22.9584), np.float32(23.151163), np.float32(23.151163)]"
4,"[np.float32(82.54654), np.float32(9.803964), np.float32(-113.39448), np.float32(79.01584), np.float32(-67.70516), np.float32(83.98162)]","[np.float32(12.423365), np.float32(13.919038), np.float32(13.235813), np.float32(17.047108), np.float32(16.36905), np.float32(17.500645), np.float32(13.426132), np.float32(16.507633), np.float32(13.9800205), np.float32(15.309574), np.float32(15.559418), np.float32(13.091544), np.float32(15.243841), np.float32(15.243841), np.float32(14.63476), np.float32(14.63476)]"
5,"[np.float32(68.60486), np.float32(-193.60408), np.float32(-101.4381), np.float32(-38.215546), np.float32(20.783968), np.float32(75.2776)]","[np.float32(20.211842), np.float32(19.531363), np.float32(20.198248), np.float32(17.508831), np.float32(18.076952), np.float32(20.579054), np.float32(17.702713), np.float32(20.216393), np.float32(18.839067), np.float32(19.805735), np.float32(20.00441), np.float32(17.730812), np.float32(17.82179), np.float32(17.82179), np.float32(18.535568), np.float32(18.535568)]"
6,"[np.float32(-21.07872), np.float32(-136.30579), np.float32(130.3457), np.float32(-0.05557394), np.float32(94.929474), np.float32(12.620388)]","[np.float32(26.017704), np.float32(26.105656), np.float32(25.76748), np.float32(22.628702), np.float32(24.35118), np.float32(23.57256), np.float32(23.82255), np.float32(23.905676), np.float32(26.435587), np.float32(25.987629), np.float32(25.517614), np.float32(26.319584), np.float32(25.852274), np.float32(25.852274), np.float32(24.713566), np.float32(24.713564)]"
7,"[np.float32(-181.1539), np.float32(10.953061), np.float32(-101.86755), np.float32(20.934015), np.float32(53.178104), np.float32(-71.033066)]","[np.float32(27.140772), np.float32(26.149471), np.float32(27.419344), np.float32(26.007257), np.float32(26.905098), np.float32(27.869915), np.float32(29.073248), np.float32(31.01703), np.float32(26.708488), np.float32(26.858366), np.float32(23.593811), np.float32(23.713257), np.float32(25.57797), np.float32(25.57797), np.float32(25.43566), np.float32(25.43566)]"
8,"[np.float32(35.70965), np.float32(58.80703), np.float32(-132.51224), np.float32(-25.906748), np.float32(53.15035), np.float32(-13.549049)]","[np.float32(24.45454), np.float32(24.924597), np.float32(25.03782), np.float32(26.247776), np.float32(26.607578), np.float32(30.957436), np.float32(26.121506), np.float32(27.456963), np.float32(24.343033), np.float32(24.73751), np.float32(24.966896), np.float32(23.987291), np.float32(25.589655), np.float32(25.589655), np.float32(26.307892), np.float32(26.307892)]"
9,"[np.float32(-105.361824), np.float32(3.6224217), np.float32(-65.43418), np.float32(67.151344), np.float32(20.917496), np.float32(212.962)]","[np.float32(25.231785), np.float32(26.150286), np.float32(25.08185), np.float32(27.315464), np.float32(27.901297), np.float32(25.793495), np.float32(24.65499), np.float32(25.164455), np.float32(25.781382), np.float32(25.36966), np.float32(25.931364), np.float32(25.63386), np.float32(25.541351), np.float32(25.541351), np.float32(22.815018), np.float32(22.815018)]"
