	epoch	time
0	0	0 days 00:00:01.339905
1	1	0 days 00:00:01.348925
2	2	0 days 00:00:01.353528
3	3	0 days 00:00:01.389063
4	4	0 days 00:00:01.818148
5	5	0 days 00:00:01.696826
6	6	0 days 00:00:01.414243
7	7	0 days 00:00:01.431954
8	8	0 days 00:00:01.490377
9	9	0 days 00:00:01.387146
10	10	0 days 00:00:01.360886
11	11	0 days 00:00:01.384106
12	12	0 days 00:00:01.350005
13	13	0 days 00:00:01.355891
14	14	0 days 00:00:01.444608
15	15	0 days 00:00:01.356743
16	16	0 days 00:00:01.355534
17	17	0 days 00:00:01.357741
18	18	0 days 00:00:01.343363
19	19	0 days 00:00:01.343888
20	20	0 days 00:00:01.370257
21	21	0 days 00:00:01.352006
22	22	0 days 00:00:01.346818
23	23	0 days 00:00:01.346954
24	24	0 days 00:00:01.368533
25	25	0 days 00:00:01.366391
26	26	0 days 00:00:01.339643
27	27	0 days 00:00:01.396312
28	28	0 days 00:00:01.544743
29	29	0 days 00:00:01.504143
30	30	0 days 00:00:01.397928
31	31	0 days 00:00:01.436150
32	32	0 days 00:00:01.444930
33	33	0 days 00:00:01.372160
34	34	0 days 00:00:01.368292
35	35	0 days 00:00:01.364504
36	36	0 days 00:00:01.452690
37	37	0 days 00:00:01.373399
38	38	0 days 00:00:01.430288
39	39	0 days 00:00:01.415308
40	40	0 days 00:00:01.379045
41	41	0 days 00:00:01.385260
42	42	0 days 00:00:01.405011
43	43	0 days 00:00:01.356656
44	44	0 days 00:00:01.370356
45	45	0 days 00:00:01.457440
46	46	0 days 00:00:01.383046
47	47	0 days 00:00:01.503840
48	48	0 days 00:00:01.750298
49	49	0 days 00:00:01.399340
50	50	0 days 00:00:01.410777
51	51	0 days 00:00:01.386400
52	52	0 days 00:00:01.365770
53	53	0 days 00:00:01.376155
54	54	0 days 00:00:01.352479
55	55	0 days 00:00:01.345490
56	56	0 days 00:00:01.343260
57	57	0 days 00:00:01.361928
58	58	0 days 00:00:01.340909
59	59	0 days 00:00:01.339413
60	60	0 days 00:00:01.346737
61	61	0 days 00:00:01.365457
62	62	0 days 00:00:01.401108
63	63	0 days 00:00:01.515465
64	64	0 days 00:00:01.442281
65	65	0 days 00:00:01.482194
66	66	0 days 00:00:01.414821
67	67	0 days 00:00:01.456544
68	68	0 days 00:00:01.479812
69	69	0 days 00:00:01.417266
70	70	0 days 00:00:01.473654
71	71	0 days 00:00:01.368355
72	72	0 days 00:00:01.435156
73	73	0 days 00:00:01.441643
74	74	0 days 00:00:05.997515
75	75	0 days 00:00:01.454875
76	76	0 days 00:00:01.540857
77	77	0 days 00:00:01.530868
78	78	0 days 00:00:01.520683
79	79	0 days 00:00:01.627023
80	80	0 days 00:00:01.576254
81	81	0 days 00:00:01.718145
82	82	0 days 00:00:01.640640
83	83	0 days 00:00:01.550740
84	84	0 days 00:00:01.424367
85	85	0 days 00:00:01.419282
86	86	0 days 00:00:01.421356
87	87	0 days 00:00:01.433544
88	88	0 days 00:00:01.402990
89	89	0 days 00:00:01.411914
90	90	0 days 00:00:01.425102
91	91	0 days 00:00:01.373969
92	92	0 days 00:00:01.409240
93	93	0 days 00:00:01.574955
94	94	0 days 00:00:01.512446
95	95	0 days 00:00:01.615958
96	96	0 days 00:00:01.437241
97	97	0 days 00:00:01.494613
98	98	0 days 00:00:01.422354
99	99	0 days 00:00:01.411826
