,x_input
0,"[18.0, 19.0, 18.0, 18.0, 20.0, 21.0, 21.0, 18.0, 19.0, 17.0, 19.0, 19.0, 18.0, 21.0, 21.0, 21.0]"
1,"[19.0, 20.0, 17.0, 17.0, 20.0, 21.0, 20.0, 19.0, 20.0, 19.0, 19.0, 20.0, 20.0, 21.0, 21.0, 21.0]"
2,"[18.0, 20.0, 17.0, 19.0, 21.0, 22.0, 22.0, 18.0, 18.0, 18.0, 20.0, 21.0, 20.0, 21.0, 21.0, 21.0]"
3,"[19.0, 21.0, 19.0, 18.0, 21.0, 19.0, 22.0, 19.0, 20.0, 19.0, 19.0, 21.0, 20.0, 20.0, 20.0, 20.0]"
4,"[19.0, 21.0, 19.0, 16.0, 20.0, 19.0, 20.0, 19.0, 19.0, 19.0, 18.0, 22.0, 22.0, 18.0, 19.0, 19.0]"
5,"[19.0, 21.0, 19.0, 16.0, 17.0, 18.0, 23.0, 22.0, 21.0, 20.0, 20.0, 23.0, 20.0, 19.0, 19.0, 18.0]"
6,"[19.0, 18.0, 17.0, 16.0, 17.0, 19.0, 23.0, 21.0, 19.0, 19.0, 17.0, 21.0, 16.0, 20.0, 17.0, 18.0]"
7,"[17.0, 18.0, 15.0, 19.0, 18.0, 19.0, 18.0, 20.0, 20.0, 19.0, 20.0, 22.0, 19.0, 20.0, 18.0, 18.0]"
8,"[16.0, 17.0, 16.0, 19.0, 20.0, 20.0, 21.0, 18.0, 18.0, 18.0, 19.0, 21.0, 17.0, 19.0, 18.0, 18.0]"
9,"[18.0, 18.0, 17.0, 19.0, 18.0, 20.0, 20.0, 16.0, 18.0, 17.0, 18.0, 21.0, 18.0, 19.0, 17.0, 17.0]"
10,"[19.0, 19.0, 18.0, 18.0, 19.0, 18.0, 21.0, 16.0, 16.0, 17.0, 19.0, 19.0, 16.0, 18.0, 16.0, 17.0]"
11,"[19.0, 20.0, 18.0, 18.0, 18.0, 19.0, 19.0, 17.0, 15.0, 16.0, 16.0, 19.0, 18.0, 17.0, 17.0, 18.0]"
12,"[18.0, 18.0, 16.0, 18.0, 17.0, 18.0, 19.0, 17.0, 15.0, 16.0, 17.0, 18.0, 16.0, 16.0, 17.0, 17.0]"
13,"[17.0, 18.0, 16.0, 19.0, 17.0, 17.0, 18.0, 17.0, 13.0, 15.0, 16.0, 17.0, 14.0, 17.0, 17.0, 17.0]"
14,"[17.0, 17.0, 15.0, 17.0, 17.0, 18.0, 18.0, 14.0, 13.0, 14.0, 13.0, 16.0, 14.0, 16.0, 17.0, 17.0]"
15,"[16.0, 17.0, 15.0, 17.0, 15.0, 18.0, 18.0, 14.0, 13.0, 13.0, 13.0, 16.0, 12.0, 16.0, 18.0, 18.0]"
16,"[17.0, 17.0, 15.0, 16.0, 17.0, 17.0, 19.0, 13.0, 13.0, 13.0, 14.0, 17.0, 14.0, 17.0, 17.0, 18.0]"
17,"[17.0, 17.0, 15.0, 15.0, 15.0, 16.0, 17.0, 13.0, 14.0, 13.0, 16.0, 17.0, 16.0, 17.0, 17.0, 18.0]"
18,"[14.0, 15.0, 14.0, 14.0, 14.0, 16.0, 15.0, 14.0, 14.0, 13.0, 17.0, 16.0, 13.0, 16.0, 18.0, 20.0]"
19,"[15.0, 15.0, 14.0, 16.0, 15.0, 17.0, 14.0, 13.0, 14.0, 14.0, 16.0, 17.0, 13.0, 17.0, 20.0, 25.0]"
20,"[14.0, 14.0, 13.0, 14.0, 16.0, 17.0, 16.0, 14.0, 13.0, 14.0, 14.0, 15.0, 13.0, 17.0, 18.0, 20.0]"
21,"[15.0, 15.0, 13.0, 13.0, 16.0, 16.0, 16.0, 14.0, 14.0, 15.0, 16.0, 16.0, 14.0, 18.0, 21.0, 20.0]"
22,"[15.0, 15.0, 13.0, 13.0, 14.0, 17.0, 16.0, 14.0, 17.0, 16.0, 18.0, 17.0, 15.0, 20.0, 20.0, 20.0]"
23,"[15.0, 15.0, 13.0, 14.0, 13.0, 17.0, 17.0, 17.0, 17.0, 16.0, 19.0, 18.0, 15.0, 20.0, 17.0, 18.0]"
24,"[15.0, 15.0, 13.0, 14.0, 14.0, 19.0, 17.0, 17.0, 19.0, 17.0, 20.0, 19.0, 18.0, 21.0, 19.0, 19.0]"
25,"[15.0, 15.0, 12.0, 15.0, 16.0, 19.0, 18.0, 19.0, 19.0, 16.0, 19.0, 20.0, 20.0, 20.0, 21.0, 20.0]"
26,"[14.0, 16.0, 12.0, 16.0, 16.0, 20.0, 19.0, 20.0, 20.0, 16.0, 19.0, 22.0, 21.0, 19.0, 20.0, 20.0]"
27,"[15.0, 16.0, 13.0, 17.0, 18.0, 17.0, 23.0, 20.0, 17.0, 17.0, 18.0, 22.0, 20.0, 15.0, 20.0, 20.0]"
28,"[16.0, 16.0, 13.0, 16.0, 17.0, 19.0, 22.0, 20.0, 17.0, 20.0, 16.0, 20.0, 17.0, 17.0, 20.0, 21.0]"
29,"[17.0, 16.0, 13.0, 18.0, 18.0, 20.0, 22.0, 17.0, 17.0, 17.0, 17.0, 20.0, 15.0, 17.0, 21.0, 22.0]"
30,"[18.0, 18.0, 17.0, 18.0, 18.0, 19.0, 18.0, 18.0, 17.0, 17.0, 16.0, 18.0, 20.0, 17.0, 22.0, 23.0]"
31,"[17.0, 17.0, 17.0, 14.0, 18.0, 17.0, 21.0, 15.0, 15.0, 16.0, 14.0, 18.0, 14.0, 18.0, 21.0, 22.0]"
32,"[18.0, 19.0, 18.0, 15.0, 16.0, 20.0, 17.0, 15.0, 14.0, 13.0, 16.0, 17.0, 13.0, 19.0, 20.0, 19.0]"
33,"[17.0, 16.0, 14.0, 20.0, 17.0, 20.0, 19.0, 19.0, 18.0, 18.0, 20.0, 19.0, 18.0, 21.0, 19.0, 18.0]"
34,"[17.0, 17.0, 5.0, 19.0, 19.0, 20.0, 20.0, 17.0, 19.0, 19.0, 19.0, 20.0, 18.0, 21.0, 21.0, 18.0]"
35,"[19.0, 19.0, 12.0, 20.0, 19.0, 21.0, 19.0, 20.0, 19.0, 19.0, 20.0, 20.0, 18.0, 21.0, 17.0, 18.0]"
36,"[20.0, 19.0, 17.0, 20.0, 20.0, 23.0, 21.0, 19.0, 20.0, 19.0, 18.0, 21.0, 19.0, 20.0, 17.0, 17.0]"
37,"[20.0, 19.0, 17.0, 20.0, 22.0, 22.0, 21.0, 19.0, 17.0, 19.0, 17.0, 21.0, 16.0, 18.0, 17.0, 18.0]"
38,"[20.0, 20.0, 19.0, 20.0, 22.0, 21.0, 21.0, 16.0, 17.0, 18.0, 19.0, 19.0, 19.0, 19.0, 18.0, 19.0]"
39,"[20.0, 21.0, 18.0, 18.0, 22.0, 20.0, 20.0, 19.0, 16.0, 17.0, 19.0, 18.0, 18.0, 18.0, 19.0, 19.0]"
40,"[20.0, 20.0, 18.0, 18.0, 18.0, 19.0, 18.0, 18.0, 17.0, 17.0, 18.0, 18.0, 17.0, 20.0, 18.0, 20.0]"
41,"[18.0, 19.0, 16.0, 16.0, 18.0, 18.0, 18.0, 18.0, 15.0, 15.0, 18.0, 17.0, 13.0, 20.0, 19.0, 21.0]"
42,"[17.0, 18.0, 16.0, 16.0, 19.0, 18.0, 17.0, 17.0, 15.0, 16.0, 16.0, 17.0, 15.0, 20.0, 21.0, 23.0]"
43,"[17.0, 17.0, 15.0, 13.0, 18.0, 18.0, 17.0, 15.0, 16.0, 16.0, 17.0, 17.0, 16.0, 21.0, 22.0, 22.0]"
44,"[17.0, 18.0, 14.0, 16.0, 17.0, 19.0, 18.0, 18.0, 16.0, 16.0, 20.0, 18.0, 14.0, 24.0, 21.0, 20.0]"
45,"[17.0, 18.0, 14.0, 15.0, 17.0, 17.0, 20.0, 19.0, 20.0, 18.0, 20.0, 17.0, 23.0, 22.0, 16.0, 19.0]"
46,"[16.0, 17.0, 15.0, 15.0, 18.0, 21.0, 21.0, 22.0, 20.0, 16.0, 23.0, 21.0, 23.0, 21.0, 17.0, 17.0]"
47,"[16.0, 17.0, 15.0, 14.0, 18.0, 20.0, 21.0, 26.0, 22.0, 18.0, 21.0, 25.0, 21.0, 19.0, 8.0, 12.0]"
48,"[16.0, 17.0, 14.0, 19.0, 18.0, 18.0, 21.0, 23.0, 23.0, 19.0, 21.0, 23.0, 20.0, 5.0, 5.0, 22.0]"
49,"[17.0, 19.0, 15.0, 17.0, 16.0, 19.0, 24.0, 23.0, 22.0, 22.0, 23.0, 24.0, 20.0, 6.0, 5.0, 23.0]"
50,"[19.0, 19.0, 17.0, 18.0, 5.0, 21.0, 24.0, 22.0, 18.0, 21.0, 22.0, 24.0, 5.0, 19.0, 18.0, 23.0]"
51,"[21.0, 18.0, 19.0, 17.0, 20.0, 21.0, 21.0, 18.0, 18.0, 18.0, 18.0, 23.0, 20.0, 23.0, 21.0, 20.0]"
52,"[22.0, 18.0, 17.0, 19.0, 19.0, 16.0, 20.0, 17.0, 19.0, 17.0, 20.0, 5.0, 20.0, 21.0, 19.0, 18.0]"
53,"[18.0, 18.0, 19.0, 19.0, 18.0, 15.0, 20.0, 19.0, 17.0, 18.0, 19.0, 15.0, 20.0, 23.0, 20.0, 20.0]"
