	epoch	time
0	0	0 days 00:00:02.392790
1	1	0 days 00:00:01.907559
2	2	0 days 00:00:01.972510
3	3	0 days 00:00:01.839049
4	4	0 days 00:00:02.078507
5	5	0 days 00:00:02.039446
6	6	0 days 00:00:01.990300
7	7	0 days 00:00:02.038137
8	8	0 days 00:00:01.976385
9	9	0 days 00:00:01.936331
10	10	0 days 00:00:02.171948
11	11	0 days 00:00:02.025067
12	12	0 days 00:00:01.869975
13	13	0 days 00:00:01.851214
14	14	0 days 00:00:01.891721
15	15	0 days 00:00:01.814668
16	16	0 days 00:00:01.858215
17	17	0 days 00:00:02.200715
18	18	0 days 00:00:02.644663
19	19	0 days 00:00:01.768767
20	20	0 days 00:00:03.709231
21	21	0 days 00:00:03.495342
22	22	0 days 00:00:01.745836
23	23	0 days 00:00:01.747894
24	24	0 days 00:00:01.751527
25	25	0 days 00:00:03.517502
26	26	0 days 00:00:02.097140
27	27	0 days 00:00:02.008471
28	28	0 days 00:00:02.391155
29	29	0 days 00:00:01.799024
30	30	0 days 00:00:01.740926
31	31	0 days 00:00:03.632037
32	32	0 days 00:00:01.930664
33	33	0 days 00:00:01.895506
34	34	0 days 00:00:01.813692
35	35	0 days 00:00:01.836127
36	36	0 days 00:00:01.808199
37	37	0 days 00:00:01.816347
38	38	0 days 00:00:02.711720
39	39	0 days 00:00:02.075903
40	40	0 days 00:00:01.899558
41	41	0 days 00:00:01.968160
42	42	0 days 00:00:02.083434
43	43	0 days 00:00:01.828793
44	44	0 days 00:00:01.730389
45	45	0 days 00:00:01.733626
46	46	0 days 00:00:02.352443
47	47	0 days 00:00:01.984017
48	48	0 days 00:00:01.732814
49	49	0 days 00:00:02.875820
50	50	0 days 00:00:01.739005
51	51	0 days 00:00:03.433619
52	52	0 days 00:00:03.525430
53	53	0 days 00:00:03.594015
54	54	0 days 00:00:01.967482
55	55	0 days 00:00:01.909663
56	56	0 days 00:00:01.904834
57	57	0 days 00:00:01.893253
58	58	0 days 00:00:01.901714
59	59	0 days 00:00:01.845896
60	60	0 days 00:00:02.143746
61	61	0 days 00:00:02.805652
62	62	0 days 00:00:02.595081
63	63	0 days 00:00:02.031700
64	64	0 days 00:00:01.997949
65	65	0 days 00:00:01.900563
66	66	0 days 00:00:01.877620
67	67	0 days 00:00:02.077952
68	68	0 days 00:00:01.760460
69	69	0 days 00:00:01.875163
70	70	0 days 00:00:03.238701
71	71	0 days 00:00:02.132204
72	72	0 days 00:00:01.925155
73	73	0 days 00:00:01.943658
74	74	0 days 00:00:02.067505
75	75	0 days 00:00:02.246484
76	76	0 days 00:00:01.947412
77	77	0 days 00:00:01.951369
78	78	0 days 00:00:02.039009
79	79	0 days 00:00:01.915720
80	80	0 days 00:00:01.771022
81	81	0 days 00:00:01.856961
82	82	0 days 00:00:01.829611
83	83	0 days 00:00:01.852921
84	84	0 days 00:00:01.800495
85	85	0 days 00:00:01.817492
86	86	0 days 00:00:01.935209
87	87	0 days 00:00:01.818554
88	88	0 days 00:00:01.777749
89	89	0 days 00:00:01.790334
90	90	0 days 00:00:01.895811
91	91	0 days 00:00:02.229814
92	92	0 days 00:00:01.787560
93	93	0 days 00:00:01.988062
94	94	0 days 00:00:01.886497
95	95	0 days 00:00:01.848731
96	96	0 days 00:00:01.772761
97	97	0 days 00:00:01.834601
98	98	0 days 00:00:01.832812
99	99	0 days 00:00:01.766107
