	epoch	time
0	0	0 days 00:00:01.875150
1	1	0 days 00:00:01.862860
2	2	0 days 00:00:01.825165
3	3	0 days 00:00:01.874410
4	4	0 days 00:00:01.818902
5	5	0 days 00:00:01.833016
6	6	0 days 00:00:01.890024
7	7	0 days 00:00:01.821316
8	8	0 days 00:00:01.874927
9	9	0 days 00:00:01.846397
10	10	0 days 00:00:01.827613
11	11	0 days 00:00:01.860087
12	12	0 days 00:00:01.827686
13	13	0 days 00:00:01.832025
14	14	0 days 00:00:01.857550
15	15	0 days 00:00:01.825435
16	16	0 days 00:00:01.860633
17	17	0 days 00:00:01.842328
18	18	0 days 00:00:01.817627
19	19	0 days 00:00:01.845941
20	20	0 days 00:00:01.816959
21	21	0 days 00:00:01.816474
22	22	0 days 00:00:01.894950
23	23	0 days 00:00:01.807061
24	24	0 days 00:00:02.026208
25	25	0 days 00:00:01.854007
26	26	0 days 00:00:01.973101
27	27	0 days 00:00:02.003979
28	28	0 days 00:00:01.962578
29	29	0 days 00:00:02.027065
30	30	0 days 00:00:01.896424
31	31	0 days 00:00:01.904594
32	32	0 days 00:00:02.041726
33	33	0 days 00:00:01.874525
34	34	0 days 00:00:02.029288
35	35	0 days 00:00:01.943391
36	36	0 days 00:00:01.909210
37	37	0 days 00:00:01.981002
38	38	0 days 00:00:01.883440
39	39	0 days 00:00:02.012727
40	40	0 days 00:00:01.885212
41	41	0 days 00:00:03.024948
42	42	0 days 00:00:01.868814
43	43	0 days 00:00:01.867155
44	44	0 days 00:00:01.984285
45	45	0 days 00:00:01.888559
46	46	0 days 00:00:02.008232
47	47	0 days 00:00:01.917085
48	48	0 days 00:00:01.913218
49	49	0 days 00:00:01.981284
50	50	0 days 00:00:01.873634
51	51	0 days 00:00:01.981403
52	52	0 days 00:00:01.867394
53	53	0 days 00:00:01.892980
54	54	0 days 00:00:01.985573
55	55	0 days 00:00:01.885662
56	56	0 days 00:00:01.938224
57	57	0 days 00:00:01.870919
58	58	0 days 00:00:01.859848
59	59	0 days 00:00:01.998648
60	60	0 days 00:00:01.834860
61	61	0 days 00:00:01.967939
62	62	0 days 00:00:01.837889
63	63	0 days 00:00:01.971892
64	64	0 days 00:00:01.953744
65	65	0 days 00:00:01.827819
66	66	0 days 00:00:01.905938
67	67	0 days 00:00:01.841634
68	68	0 days 00:00:01.894018
69	69	0 days 00:00:02.036152
70	70	0 days 00:00:01.921331
71	71	0 days 00:00:02.044633
72	72	0 days 00:00:01.865592
73	73	0 days 00:00:01.849642
74	74	0 days 00:00:01.937637
75	75	0 days 00:00:01.813958
76	76	0 days 00:00:01.869561
77	77	0 days 00:00:01.964065
78	78	0 days 00:00:01.814347
79	79	0 days 00:00:01.905628
80	80	0 days 00:00:01.822070
81	81	0 days 00:00:01.800131
82	82	0 days 00:00:01.907439
83	83	0 days 00:00:01.821816
84	84	0 days 00:00:01.940506
85	85	0 days 00:00:01.845680
86	86	0 days 00:00:01.819451
87	87	0 days 00:00:01.967413
88	88	0 days 00:00:01.812290
89	89	0 days 00:00:01.870384
90	90	0 days 00:00:03.004819
91	91	0 days 00:00:01.843520
92	92	0 days 00:00:01.841745
93	93	0 days 00:00:01.888616
94	94	0 days 00:00:01.974154
95	95	0 days 00:00:01.815220
96	96	0 days 00:00:01.808536
97	97	0 days 00:00:01.913227
98	98	0 days 00:00:01.826087
99	99	0 days 00:00:01.938959
